ticker,article_date,article_count,unique_source_count,total_word_count,tone_weighted,tone_positive_weighted,tone_negative_weighted,tone_polarity_weighted,tone_avg,tone_stddev,tone_min,tone_max,positive_article_count,negative_article_count,neutral_article_count,avg_activity_density
AAPL,2025-02-11,243,147,147740.0,0.20545649870579408,3.1252688794759411,2.9198123807701477,6.0450812602460893,-0.34809852176224387,3.27826023055461,-12.3076923076923,12.1794871794872,81,93,69,22.077047077997815
AAPL,2025-02-12,257,145,162744.0,0.14484357633818917,3.2153568552931437,3.0705132789549552,6.2858701342481007,0.21913460265330756,3.7976178693020084,-10.8465608465608,9.11062906724512,108,91,58,23.195639150881469
AAPL,2025-02-13,322,172,201463.0,0.51780095063482556,3.1895217756227026,2.6717208249878759,5.8612426006105807,0.1784486317702936,3.1958801320694907,-11.6838487972509,8.19672131147541,128,90,104,22.837064358521687
AAPL,2025-02-14,470,293,297575.0,0.16816690171203952,3.1793056240144235,3.0111387223023844,6.190444346316804,-0.33074898255547758,2.7686562934235659,-13.3136094674556,8.41313269493844,133,168,169,22.82764733885509
AAPL,2025-02-15,171,109,107095.0,-0.12984657496990426,2.8562379025715128,2.9860844775414161,5.84232238011293,-0.019123582920396474,2.8752308315399184,-7.48342279760025,12.0320855614973,48,50,73,21.55740158447195
AAPL,2025-02-16,131,61,70101.0,-0.36036829335109416,2.7701331671173932,3.1305014604684871,5.90063462758588,-0.61871661129174838,3.3610797782328756,-10.916179337232,6.49087221095335,42,52,37,21.614225948976042
AAPL,2025-02-17,428,325,212483.0,0.14299334079173237,3.2808613796129817,3.137868038821245,6.4187294184342241,0.44730096741717656,2.6327309426343568,-10.0,11.0119047619048,261,90,77,18.855666686719612
AAPL,2025-02-18,209,114,141802.0,-0.33257540289584259,2.9460725506241183,3.278647953519962,6.224720504144079,-0.17837934271528449,3.2125879107937663,-13.9664804469274,8.93371757925072,77,81,51,22.141404664039197
AAPL,2025-02-19,274,157,301852.0,-0.38763430401808496,3.2416812287918986,3.6293155328099775,6.8709967616018757,0.010276917265311436,3.7670912179091127,-12.5,13.1487889273356,105,104,65,22.603405052968878
AAPL,2025-02-20,305,171,241121.0,1.5212141747600396,3.687992129096977,2.1667779543369381,5.854770083433916,1.1027532333141188,3.0389342081062121,-11.7857142857143,12.8544423440454,159,54,92,23.251759480082395
AAPL,2025-02-21,253,143,131665.0,0.11602957859490622,3.1990139421180763,3.0829843635231704,6.2819983056412454,0.049223044701429686,3.4246911823099619,-12.1621621621622,13.0,96,82,75,22.531812842502912
AAPL,2025-02-22,155,77,83912.0,0.39403188284814733,2.5763086976614549,2.1822768148133078,4.7585855124747631,0.2030560496322725,3.0708728771553186,-10.3004291845494,13.5593220338983,71,43,41,22.432114656854562
AAPL,2025-02-23,158,79,110620.0,0.44647121665069872,3.0541791562242557,2.6077079395735563,5.6618870957978125,0.27921183933970906,2.5090016218831983,-8.37789661319073,6.56455142231948,60,36,62,22.256114345899974
AAPL,2025-02-24,308,204,173374.0,1.2633881640690423,3.6221380833750976,2.3587499193060557,5.9808880026811515,1.2839153004782,3.134937773376357,-12.7906976744186,8.24742268041237,189,47,72,21.870496369639827
AAPL,2025-02-25,296,178,165904.0,0.92858917966922438,3.4826446606435244,2.5540554809742995,6.0367001416178248,0.41520767910593348,3.2567779255194402,-10.6529209621993,7.24815724815725,130,80,86,21.986829687996238
AAPL,2025-02-26,269,161,166630.0,0.43888941684378913,3.3631472862778868,2.9242578694340993,6.2874051557119879,-0.061271807301035736,3.7055953606910714,-13.4615384615385,9.09090909090909,110,98,61,22.239055342751787
AAPL,2025-02-27,225,141,144664.0,0.50221053011414563,3.2764813629521803,2.7742708328380346,6.0507521957902135,0.13521960690310436,3.5103914186871692,-10.5691056910569,11.4285714285714,93,86,46,22.062673653470707
AAPL,2025-02-28,204,129,156680.0,0.34981936139632497,3.252823681604748,2.9030043202084213,6.1558280018131688,-0.53630409157336989,3.7077136887354571,-11.1111111111111,9.41176470588235,67,86,51,22.033224957483014
AAPL,2025-03-01,116,72,74314.0,-0.32477184234734763,3.122197180028405,3.4469690223757521,6.5691662024041584,-0.49475004360419861,3.2660642077926787,-12.0388349514563,6.28099173553719,34,38,44,22.713802482504445
AAPL,2025-03-02,157,101,76417.0,-0.70678518422205883,2.6964985946295852,3.4032837788516432,6.0997823734812311,-0.83043569355555835,3.6271386875392806,-8.93470790378007,9.15619389587074,43,90,24,21.749502657334546
AAPL,2025-03-03,187,107,112067.0,0.26692859232774563,2.9628839916587237,2.6959553993309782,5.6588393909897023,0.012514493985704103,3.501041825991658,-9.97679814385151,12.3839009287926,66,62,59,22.049345364540294
AAPL,2025-03-04,219,126,166585.0,-0.017567648988773197,2.938221904910804,2.9557895538995771,5.8940114588103807,0.23717736998919658,3.6455700971726466,-10.054844606947,11.6477272727273,89,77,53,22.866498644601545
AAPL,2025-03-05,243,127,165335.0,0.31313141008193346,3.2354358638847924,2.9223044538028589,6.1577403176876517,0.16034926874680294,2.9126967927385983,-9.7864768683274,7.59803921568627,98,74,71,22.648838239810651
AAPL,2025-03-06,195,111,124807.0,0.40757262233297759,3.33294423518211,2.9253716128491321,6.2583158480312431,-0.21366504058169863,4.1058064178422065,-10.4938271604938,10.0502512562814,76,77,42,22.407523636312465
AAPL,2025-03-07,208,126,123717.0,-0.26935618535258427,2.8081591396445047,3.0775153249970888,5.8856744646415935,-0.49844783977107965,2.968591171012076,-14.9901380670611,7.18954248366013,69,81,58,22.531568737546152
AAPL,2025-03-08,140,82,96529.0,0.30981253019548377,2.8092852129581884,2.4994726827627045,5.308757895720893,-0.58600067554406343,3.3916179052403259,-11.0320284697509,7.48065348237317,47,53,40,22.835864317015588
