date,ticker,open,high,low,close,volume,daily_return,realized_vol5,article_count,unique_source_count,tone_weighted,tone_positive_weighted,tone_negative_weighted,tone_polarity_weighted,tone_avg,tone_stddev,positive_article_count,negative_article_count,neutral_article_count,avg_activity_density,tone_lag1,tone_lag2,tone_lag3,articles_lag1,articles_lag2,articles_lag3,polarity_lag1,polarity_lag2,polarity_lag3,tone_rolling5,tone_momentum,tone_vol5,earnings_week,direction_t1,direction_t2,direction_t3,return_t1
2025-09-10,MSFT,500.8971201283455,501.1460848531792,494.6630336933239,498.29791259765625,21611800,0.003932547586223523,0.013398547234491447,1410.0,568.0,0.0066176996509263,3.25130629513413,3.2446885954832023,6.495994890617327,0.1778864450437523,3.1612541970002,615.0,378.0,417.0,22.35505823095144,-0.4634607508957628,0.7364270843270327,0.4447161365510736,1446.0,811.0,1137.0,6.174360851952694,6.078233896857239,6.418355666149633,0.23478903041576346,0.47007845054668906,0.46943799388988844,0,1.0,1.0,1.0,0.0012790734278175719
2025-09-11,MSFT,500.17012751524385,501.08633106619584,495.8182290284252,498.9352722167969,18881600,0.0012790734278176341,0.012989446109016556,902.0,472.0,0.6949372171653391,3.419324610027176,2.7243873928618356,6.143712002889013,0.7696752201690891,2.8184813709210568,419.0,177.0,306.0,22.781787273365143,0.0066176996509263,-0.4634607508957628,0.7364270843270327,1410.0,1446.0,811.0,6.495994890617327,6.174360851952694,6.078233896857239,0.2838474773597218,0.6883195175144128,0.5086815649286356,0,1.0,1.0,1.0,0.0177441452321169
2025-09-12,MSFT,504.55191069082485,510.42747218178897,501.7635178992086,507.7884521484375,23624900,0.01774414523211698,0.006996737324715076,1267.0,685.0,1.2062879458687297,3.7392008105407286,2.532912864671999,6.272113675212723,0.98209576748942,2.907206535777121,547.0,314.0,406.0,22.28792499570317,0.6949372171653391,0.0066176996509263,-0.4634607508957628,902.0,1410.0,1446.0,6.143712002889013,6.495994890617327,6.174360851952694,0.436161839223253,0.5113507287033906,0.6603118782584111,0,1.0,0.0,1.0,0.010707959006712578
2025-09-15,MSFT,506.68306017742736,513.3353599697668,504.9004642300766,513.225830078125,17143800,0.010707959006712509,0.007321775314017594,773.0,401.0,0.5865588062094399,3.4984008235744657,2.911842017365026,6.410242840939492,0.6044619662972339,2.9952973354073085,372.0,191.0,210.0,23.4963836023896,1.2062879458687297,0.6949372171653391,0.0066176996509263,1267.0,902.0,1410.0,6.272113675212723,6.143712002889013,6.495994890617327,0.4061881835997344,-0.6197291396592898,0.6465321021381746,0,0.0,0.0,0.0,-0.012263262823754277
2025-09-16,MSFT,514.7395367165727,515.0880630075219,506.4938265025834,506.9320068359375,19711900,-0.012263262823754228,0.01124063712727202,1066.0,602.0,0.4530338431146334,3.363661910693344,2.910628067578712,6.274289978272056,0.6653216188239592,2.773188400143724,525.0,232.0,309.0,23.198202499695338,0.5865588062094399,1.2062879458687297,0.6949372171653391,773.0,1267.0,902.0,6.410242840939492,6.272113675212723,6.143712002889013,0.5894871024018137,-0.1335249630948065,0.43299186330605666,0,1.0,0.0,1.0,0.0019251529153794789
2025-09-17,MSFT,508.5054498653079,509.1726886784055,503.8348693472275,507.9079284667969,15816600,0.0019251529153794245,0.01129188556396055,1363.0,768.0,1.379116614747821,3.7944239673541102,2.415307352606288,6.2097313199603965,1.3857324403413898,2.8352059240472225,810.0,226.0,327.0,23.062317737521106,0.4530338431146334,0.5865588062094399,1.2062879458687297,1066.0,773.0,1267.0,6.274289978272056,6.410242840939492,6.272113675212723,0.8639868854211926,0.9260827716331876,0.4052638604888143,0,0.0,1.0,1.0,-0.00307826768371112
2025-09-18,MSFT,509.37184097126715,510.9453149965379,505.55771489166153,506.3444519042969,18913700,-0.003078267683711111,0.011703311729094279,1476.0,929.0,0.6097215817700778,3.687249531146535,3.077527949376456,6.764777480522991,0.8807117678366136,2.274561746402831,693.0,231.0,552.0,22.84367481166379,1.379116614747821,0.4530338431146334,0.5865588062094399,1363.0,1066.0,773.0,6.2097313199603965,6.274289978272056,6.410242840939492,0.8469437583421403,-0.7693950329777433,0.41580521277197946,0,1.0,1.0,1.0,0.018644946824940733
2025-09-19,MSFT,508.44574170609144,517.1495391803752,508.19677696926453,515.7852172851562,52474100,0.018644946824940778,0.011990302357455853,964.0,583.0,0.636882448558798,3.464797167549025,2.8279147189902276,6.292711886539253,0.6390619840229009,2.413230812663426,371.0,185.0,408.0,22.9981836521538,0.6097215817700778,1.379116614747821,0.4530338431146334,1476.0,1363.0,1066.0,6.764777480522991,6.2097313199603965,6.274289978272056,0.7330626588801541,0.027160866788720206,0.3680111698572476,0,0.0,0.0,0.0,-0.006719029657569707
2025-09-22,MSFT,513.4549348866175,515.5959951267806,510.41751650985566,512.3196411132812,20009300,-0.006719029657569653,0.011788815334388863,1025.0,542.0,0.4906823923815588,3.394561916103352,2.903879523721794,6.298441439825146,0.6576402898428831,2.6036832796634304,406.0,231.0,388.0,22.844933522597653,0.636882448558798,0.6097215817700778,1.379116614747821,964.0,1476.0,1363.0,6.292711886539253,6.764777480522991,6.2097313199603965,0.7138873761145779,-0.14620005617723925,0.37986025126145684,0,0.0,0.0,0.0,-0.010146780170470148
2025-09-23,MSFT,511.67229848312854,512.4590659268906,505.2091838485409,507.1212463378906,19799600,-0.010146780170470104,0.011278742332215685,1464.0,808.0,0.7321044295389931,3.238636985412445,2.5065325558734526,5.745169541285898,0.519651187482882,2.7102118311820824,694.0,352.0,418.0,22.83903270057923,0.4906823923815588,0.636882448558798,0.6097215817700778,1025.0,964.0,1476.0,6.298441439825146,6.292711886539253,6.764777480522991,0.7697014933994497,0.24142203715743432,0.35138527959674687,0,1.0,0.0,1.0,0.0018065456770511349
